,property_name,link,area,address
0,5 Bedroom House for sale in Sector 70A Gurgaon,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-bptp-visionnaire-sector-70-a-gurgaon-2610-sq-ft-spid-K70037724,(242 sq.m.) Plot Area,"29b, Sector 70A Gurgaon, Gurgaon, Haryana"
1,5 Bedroom House for sale in Sector 21A Faridabad,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-gurgaon-539-sq-ft-spid-E69288322,(50 sq.m.) Plot Area,"Sector 21A Faridabad, Gurgaon, Haryana"
2,10 Bedroom House for sale in Sushant Lok Phase 1,https://www.99acres.com/10-bhk-bedroom-independent-house-villa-for-sale-in-sushant-lok-phase-1-gurgaon-549-sq-ft-spid-F69536898,(51 sq.m.) Plot Area,"Sushant Lok Phase 1, Gurgaon, Haryana"
3,21 Bedroom House for sale in Sector 54 Gurgaon,https://www.99acres.com/21-bhk-bedroom-independent-house-villa-for-sale-in-sector-54-gurgaon-1161-sq-ft-spid-R69483164,(108 sq.m.) Plot Area,"Sector 54 Gurgaon, Gurgaon, Haryana"
4,12 Bedroom House for sale in Sushant Lok Phase 1,https://www.99acres.com/12-bhk-bedroom-independent-house-villa-for-sale-in-sushant-lok-phase-1-gurgaon-558-sq-ft-spid-M69381272,(52 sq.m.) Plot Area,"1228, Sushant Lok Phase 1, Gurgaon, Haryana"
5,20 Bedroom House for sale in Sushant Lok Phase 1,https://www.99acres.com/20-bhk-bedroom-independent-house-villa-for-sale-in-sushant-lok-phase-1-gurgaon-1152-sq-ft-spid-V69218808,(107 sq.m.) Plot Area,"Sushant Lok Phase 1, Gurgaon, Haryana"
6,5 Bedroom House for sale in Sector 66 Gurgaon,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-emaar-mgf-marbella-sector-66-gurgaon-3240-sq-ft-r11-spid-G55931988,(301 sq.m.) Plot Area,"Sector 66 Gurgaon, Gurgaon, Haryana"
7,16 Bedroom House for sale in DLF Phase 1,https://www.99acres.com/16-bhk-bedroom-independent-house-villa-for-sale-in-luxury-dlf-city-floors-dlf-city-phase-1-gurgaon-4500-sq-ft-spid-E67952012,(418 sq.m.) Plot Area,"DLF Phase 1, Gurgaon, Haryana"
8,6 Bedroom House for sale in DLF Phase 2,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-dlf-city-phase-2-gurgaon-2844-sq-ft-spid-U69218678,(264 sq.m.) Plot Area,"DLF Phase 2, Gurgaon, Haryana"
9,3 Bedroom House for sale in Sushant Lok Phase 1,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sushant-lok-1-builder-floors-sushant-lok-phase-1-gurgaon-1935-sq-ft-spid-L69688060,(180 sq.m.) Plot Area,"C Block Small Nos, Sushant Lok Phase 1, Gurgaon, Haryana"
