id,property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servant_room,store_room,furnishing_type,luxury_category,floor_category,img,society,near_locatio
1,flat,sector 89,0.95,2.0,2.0,2,New Property,1226.0,1.0,0.0,unfurnished,Low,Mid Floor,static/data/1.jpg,Smart World Gems,"{'Genesis Hospital Sector 84': '2.2 Km', 'Dwarka Expressway': '2.9 Km', 'RPS International School': '3.4 Km', 'Holiday Inn Gurugram Sector 90': '4.1 Km', 'Sant Soordas Sihi Metro Station': '5.1 Km', 'Pataudi Road': '8.5 Km', 'National Tennis Academy Sector 98': '8.7 Km', 'IMT Manesar': '9.5 Km', 'NH-8': '9.5 Km', 'Gurgaon Railway Station': '12.4 Km', 'De Adventure Amusement Park': '15 Km', 'KMP Expressway': '15.4 Km', 'Vatika Business Park Sector 49': '17 Km', 'Airia Mall': '17 Km'}"
2,flat,sector 92,1.6,3.0,4.0,3+,Relatively New,1615.0,1.0,0.0,semifurnished,High,Mid Floor,static/data/2.jpg,Bestech Park View Sanskruti,"{'Sapphire 93 Mall': '1.2 Km', 'Holiday Inn Sector 90': '2 Km', 'Aarvy Healthcare Hospital': '3.6 Km', 'RPS International School Sector 89': '3.7 Km', 'National Tennis Academy Sector 98': '5.3 Km', 'Dwarka Expressway': '5.8 Km', 'NH-8, Imt Manesar': '6.4 Km', 'DPG Institute of Technology': '15.4 Km', 'De Adventure Park': '16.6 Km', 'Western Peripheral Expressway': '18.2 Km', 'Indira Gandhi International Airport': '34.2 Km'}"
3,flat,gwal pahari,7.5,4.0,4.0,3+,New Property,4842.0,1.0,0.0,semifurnished,Low,High Floor,static/data/3.jpg,Paras Quartier,"{'Sector 55-56 Metro Station': '5 Km', 'Teri Golf Course': '1.5 Km', 'ASF Insignia SEZ': '3.6 Km', 'Sushant University': '5 Km', 'Faridabad - Gurgaon Road': '6 Meter', 'Golden Tulip Suites Gurgaon': '2.1 Km', 'Paras Hospitals, Gurgaon': '7.4 Km', 'South point Mall': '7.9 Km', ""Oyster's Water Park"": '10.8 Km', 'NH 148A': '7.9 Km', 'Indira Gandhi International Airport': '20.1 Km', ""Lingaya's Lalita Devi Institute"": '3.4 Km', 'Pathways School Gurgaon': '3.2 Km'}"
4,flat,sector 108,2.0,3.0,3.0,3+,Relatively New,2116.0,1.0,0.0,unfurnished,Medium,High Floor,static/data/4.jpg,Experion The Heartsong,"{'Galleria 108 Mall': '0.65 Km', 'The Shikshiyan School': '0.75 Km', 'Dwarka Expressway': '3 Km', 'Manipal Hospital': '8.5 Km', 'SkyJumper Trampoline Park': '12.1 Km', 'Vivanta New Delhi, Dwarka': '13.3 Km', 'Fun N Food Village': '14.1 Km', 'Central Peripheral Road': '14.8 Km', 'Indira Gandhi International Airport': '20.5 Km'}"
5,flat,sector 102,1.9,3.0,4.0,3,Relatively New,1710.0,1.0,0.0,unfurnished,High,Mid Floor,static/data/5.jpg,Adani M2k Oyster Grande,"{'Prime Scholars International School': '800 Meter', 'Dwarka Expy, Dhanwapur Village': '3 KM', 'WTC Plaza': '4.5 KM', 'Shri Balaji’s Multispeciality Hospital': '5.9 KM', 'Euro International School, Sector 37D': '6.3  KM', 'Delhi Public School, Sector 103': '2.8 KM', 'SGT University': '9 KM', 'Park Inn, Gurgaon': '10.3 KM', 'DLF World Tech Park': '13 KM', 'Star Mall': '13.7 KM', 'Indira Gandhi Intl Airport': '22.8 KM'}"
6,house,sector 105,1.2,3.0,2.0,1,Old Property,1185.51,0.0,0.0,unfurnished,Low,Low Floor,static/data/6.jpg,Independent,"{'Delhi International Airport': '34 minutes drive', 'AIIMS': '26 minutes drive', 'The Hive': '5 minutes drive', 'Gurugram Rd': 'In close proximity', 'JMS Marine Square': '8 minutes drive', 'Stymerra Chowk': '8 minutes drive', 'Sector 102 Dhankot': '5 minutes drive', 'Shri Hanuman Ji Mandir': '5 minutes drive', 'MCC Cricket Ground Dhankot': '6 minutes drive', 'KFG Sports Club': '8 minutes drive', 'Signature Hospital': '10 minutes drive', 'Prime Scholars Int. School': 'In close proximity'}"
7,house,sector 109,1.55,3.0,2.0,0,Relatively New,2360.0,0.0,0.0,unfurnished,Low,Low Floor,static/data/7.jpg,Independent,"{'Delhi International Airport': '34 minutes drive', 'AIIMS': '26 minutes drive', 'The Hive': '5 minutes drive', 'Gurugram Rd': 'In close proximity', 'JMS Marine Square': '8 minutes drive', 'Stymerra Chowk': '8 minutes drive', 'Sector 102 Dhankot': '5 minutes drive', 'Shri Hanuman Ji Mandir': '5 minutes drive', 'MCC Cricket Ground Dhankot': '6 minutes drive', 'KFG Sports Club': '8 minutes drive', 'Signature Hospital': '10 minutes drive', 'Prime Scholars Int. School': 'In close proximity'}"
8,flat,sector 65,2.77,4.0,4.0,3+,Relatively New,2194.0,1.0,0.0,furnished,High,Mid Floor,static/data/8.jpg,Emaar Mgf Emerald Floors Premier,"{'WorldMark Gurgaon': '400 m', 'Sohna Road': '3.2 Km', 'Lemon Tree Hotel': '3.9 Km', 'CK Birla Hospital': '5.2 Km', 'Golf Course Road': '5.6 Km', 'Delhi International Airport': '23.4 Km'}"
9,house,sector 12,1.2,2.0,4.0,2,Relatively New,846.0,0.0,0.0,semifurnished,Low,Low Floor,static/data/9.jpg,Independent,"{'Delhi International Airport': '34 minutes drive', 'AIIMS': '26 minutes drive', 'The Hive': '5 minutes drive', 'Gurugram Rd': 'In close proximity', 'JMS Marine Square': '8 minutes drive', 'Stymerra Chowk': '8 minutes drive', 'Sector 102 Dhankot': '5 minutes drive', 'Shri Hanuman Ji Mandir': '5 minutes drive', 'MCC Cricket Ground Dhankot': '6 minutes drive', 'KFG Sports Club': '8 minutes drive', 'Signature Hospital': '10 minutes drive', 'Prime Scholars Int. School': 'In close proximity'}"
10,flat,sector 92,1.55,3.0,4.0,3,Relatively New,1805.0,1.0,0.0,semifurnished,Medium,High Floor,static/data/10.jpg,Bestech Park View Sanskruti,"{'Sapphire 93 Mall': '1.2 Km', 'Holiday Inn Sector 90': '2 Km', 'Aarvy Healthcare Hospital': '3.6 Km', 'RPS International School Sector 89': '3.7 Km', 'National Tennis Academy Sector 98': '5.3 Km', 'Dwarka Expressway': '5.8 Km', 'NH-8, Imt Manesar': '6.4 Km', 'DPG Institute of Technology': '15.4 Km', 'De Adventure Park': '16.6 Km', 'Western Peripheral Expressway': '18.2 Km', 'Indira Gandhi International Airport': '34.2 Km'}"
